Date,Country/Region,Confirmed,Deaths,Recovered,Active Cases,Previous Confirmed,Previous Deaths,Previous Recovered,Previous Active,Prev2 Confirmed,Population,Daily Confirmed,Daily Deaths,Daily Recovered,Daily Active,Previous Daily Confirmed
2020-01-25,Singapore,3,0,0,3,3,0,0,3,1,5703600,0,0,0,0,2
2020-01-25,Taiwan*,3,0,0,3,3,0,0,3,1,23604265,0,0,0,0,2
2020-01-25,Thailand,7,0,0,7,5,0,0,5,3,66484342,2,0,0,2,2
2020-01-25,US,2,0,0,2,2,0,0,2,1,329493716,0,0,0,0,1
2020-01-25,Vietnam,2,0,0,2,2,0,0,2,2,96208984,0,0,0,0,0
2020-01-26,Australia,4,0,0,4,,,,,,25654023,,,,,
2020-01-26,Canada,1,0,0,1,,,,,,37966227,,,,,
2020-01-26,China,2075,56,0,2019,1406,42,0,1364,920,1401870440,669,14,0,655,486
2020-01-26,France,3,0,0,3,3,0,0,3,2,67069000,0,0,0,0,1
2020-01-26,Japan,4,0,0,4,2,0,0,2,2,126010000,2,0,0,2,0
2020-01-26,"Korea, South",3,0,0,3,2,0,0,2,2,51780579,1,0,0,1,0
2020-01-26,Malaysia,4,0,0,4,3,0,0,3,,32726760,1,0,0,1,
2020-01-26,Nepal,1,0,0,1,1,0,0,1,,29609623,0,0,0,0,
2020-01-26,Singapore,4,0,0,4,3,0,0,3,3,5703600,1,0,0,1,0
2020-01-26,Taiwan*,4,0,0,4,3,0,0,3,3,23604265,1,0,0,1,0
2020-01-26,Thailand,8,0,0,8,7,0,0,7,5,66484342,1,0,0,1,2
2020-01-26,US,5,0,0,5,2,0,0,2,2,329493716,3,0,0,3,0
2020-01-26,Vietnam,2,0,0,2,2,0,0,2,2,96208984,0,0,0,0,0
2020-01-27,Australia,5,0,0,5,4,0,0,4,,25654023,1,0,0,1,
2020-01-27,Cambodia,1,0,0,1,,,,,,15288489,,,,,
2020-01-27,Canada,1,0,0,1,1,0,0,1,,37966227,0,0,0,0,
2020-01-27,China,2877,82,0,2795,2075,56,0,2019,1406,1401870440,802,26,0,776,669
2020-01-27,France,3,0,0,3,3,0,0,3,3,67069000,0,0,0,0,0
2020-01-27,Germany,1,0,0,1,,,,,,83149300,,,,,
2020-01-27,Japan,4,0,0,4,4,0,0,4,2,126010000,0,0,0,0,2
2020-01-27,"Korea, South",4,0,0,4,3,0,0,3,2,51780579,1,0,0,1,1
2020-01-27,Malaysia,4,0,0,4,4,0,0,4,3,32726760,0,0,0,0,1
2020-01-27,Nepal,1,0,0,1,1,0,0,1,1,29609623,0,0,0,0,0
2020-01-27,Singapore,5,0,0,5,4,0,0,4,3,5703600,1,0,0,1,1
2020-01-27,Sri Lanka,1,0,0,1,,,,,,21803000,,,,,
2020-01-27,Taiwan*,5,0,0,5,4,0,0,4,3,23604265,1,0,0,1,1
2020-01-27,Thailand,8,0,0,8,8,0,0,8,7,66484342,0,0,0,0,1
2020-01-27,US,5,0,0,5,5,0,0,5,2,329493716,0,0,0,0,3
2020-01-27,Vietnam,2,0,0,2,2,0,0,2,2,96208984,0,0,0,0,0
2020-01-28,Australia,5,0,0,5,5,0,0,5,4,25654023,0,0,0,0,1
2020-01-28,Cambodia,1,0,0,1,1,0,0,1,,15288489,0,0,0,0,
2020-01-28,Canada,2,0,0,2,1,0,0,1,1,37966227,1,0,0,1,0
2020-01-28,China,5509,131,0,5378,2877,82,0,2795,2075,1401870440,2632,49,0,2583,802
2020-01-28,France,4,0,0,4,3,0,0,3,3,67069000,1,0,0,1,0
2020-01-28,Germany,4,0,0,4,1,0,0,1,,83149300,3,0,0,3,
2020-01-28,Japan,7,0,0,7,4,0,0,4,4,126010000,3,0,0,3,0
2020-01-28,"Korea, South",4,0,0,4,4,0,0,4,3,51780579,0,0,0,0,1
2020-01-28,Malaysia,4,0,0,4,4,0,0,4,4,32726760,0,0,0,0,0
2020-01-28,Nepal,1,0,0,1,1,0,0,1,1,29609623,0,0,0,0,0
2020-01-28,Singapore,7,0,0,7,5,0,0,5,4,5703600,2,0,0,2,1
2020-01-28,Sri Lanka,1,0,0,1,1,0,0,1,,21803000,0,0,0,0,
2020-01-28,Taiwan*,8,0,0,8,5,0,0,5,4,23604265,3,0,0,3,1
2020-01-28,Thailand,14,0,0,14,8,0,0,8,8,66484342,6,0,0,6,0
2020-01-28,US,5,0,0,5,5,0,0,5,5,329493716,0,0,0,0,0
2020-01-28,Vietnam,2,0,0,2,2,0,0,2,2,96208984,0,0,0,0,0
2020-01-29,Australia,6,0,0,6,5,0,0,5,5,25654023,1,0,0,1,0
2020-01-29,Cambodia,1,0,0,1,1,0,0,1,1,15288489,0,0,0,0,0
2020-01-29,Canada,2,0,0,2,2,0,0,2,1,37966227,0,0,0,0,1
2020-01-29,China,6087,133,0,5954,5509,131,0,5378,2877,1401870440,578,2,0,576,2632
2020-01-29,Finland,1,0,0,1,,,,,,5527573,,,,,
2020-01-29,France,5,0,0,5,4,0,0,4,3,67069000,1,0,0,1,1
2020-01-29,Germany,4,0,0,4,4,0,0,4,1,83149300,0,0,0,0,3
2020-01-29,Japan,7,0,0,7,7,0,0,7,4,126010000,0,0,0,0,3
2020-01-29,"Korea, South",4,0,0,4,4,0,0,4,4,51780579,0,0,0,0,0
2020-01-29,Malaysia,7,0,0,7,4,0,0,4,4,32726760,3,0,0,3,0
2020-01-29,Nepal,1,0,0,1,1,0,0,1,1,29609623,0,0,0,0,0
2020-01-29,Singapore,7,0,0,7,7,0,0,7,5,5703600,0,0,0,0,2
2020-01-29,Sri Lanka,1,0,0,1,1,0,0,1,1,21803000,0,0,0,0,0
2020-01-29,Taiwan*,8,0,0,8,8,0,0,8,5,23604265,0,0,0,0,3
2020-01-29,Thailand,14,0,0,14,14,0,0,14,8,66484342,0,0,0,0,6
2020-01-29,US,5,0,0,5,5,0,0,5,5,329493716,0,0,0,0,0
2020-01-29,United Arab Emirates,4,0,0,4,,,,,,9890400,,,,,
2020-01-29,Vietnam,2,0,0,2,2,0,0,2,2,96208984,0,0,0,0,0
2020-01-30,Australia,9,0,0,9,6,0,0,6,5,25654023,3,0,0,3,1
2020-01-30,Cambodia,1,0,0,1,1,0,0,1,1,15288489,0,0,0,0,0
2020-01-30,Canada,2,0,0,2,2,0,0,2,2,37966227,0,0,0,0,0
2020-01-30,China,8141,171,0,7970,6087,133,0,5954,5509,1401870440,2054,38,0,2016,578
2020-01-30,Finland,1,0,0,1,1,0,0,1,,5527573,0,0,0,0,
2020-01-30,France,5,0,0,5,5,0,0,5,4,67069000,0,0,0,0,1
2020-01-30,Germany,4,0,0,4,4,0,0,4,4,83149300,0,0,0,0,0
2020-01-30,India,1,0,0,1,,,,,,1360094159,,,,,
2020-01-30,Japan,11,0,0,11,7,0,0,7,7,126010000,4,0,0,4,0
2020-01-30,"Korea, South",4,0,0,4,4,0,0,4,4,51780579,0,0,0,0,0
2020-01-30,Malaysia,8,0,0,8,7,0,0,7,4,32726760,1,0,0,1,3
2020-01-30,Nepal,1,0,0,1,1,0,0,1,1,29609623,0,0,0,0,0
2020-01-30,Philippines,1,0,0,1,,,,,,108438081,,,,,
2020-01-30,Singapore,10,0,0,10,7,0,0,7,7,5703600,3,0,0,3,0
2020-01-30,Sri Lanka,1,0,0,1,1,0,0,1,1,21803000,0,0,0,0,0
2020-01-30,Taiwan*,9,0,0,9,8,0,0,8,8,23604265,1,0,0,1,0
2020-01-30,Thailand,14,0,0,14,14,0,0,14,14,66484342,0,0,0,0,0
2020-01-30,US,5,0,0,5,5,0,0,5,5,329493716,0,0,0,0,0
2020-01-30,United Arab Emirates,4,0,0,4,4,0,0,4,,9890400,0,0,0,0,
2020-01-30,Vietnam,2,0,0,2,2,0,0,2,2,96208984,0,0,0,0,0
2020-01-31,Australia,9,0,0,9,9,0,0,9,6,25654023,0,0,0,0,3
2020-01-31,Cambodia,1,0,0,1,1,0,0,1,1,15288489,0,0,0,0,0
2020-01-31,Canada,4,0,0,4,2,0,0,2,2,37966227,2,0,0,2,0
2020-01-31,China,9802,213,0,9589,8141,171,0,7970,6087,1401870440,1661,42,0,1619,2054
2020-01-31,Finland,1,0,0,1,1,0,0,1,1,5527573,0,0,0,0,0
2020-01-31,France,5,0,0,5,5,0,0,5,5,67069000,0,0,0,0,0
2020-01-31,Germany,5,0,0,5,4,0,0,4,4,83149300,1,0,0,1,0
2020-01-31,India,1,0,0,1,1,0,0,1,,1360094159,0,0,0,0,
2020-01-31,Italy,2,0,0,2,,,,,,60243406,,,,,
2020-01-31,Japan,15,0,0,15,11,0,0,11,7,126010000,4,0,0,4,4
2020-01-31,"Korea, South",11,0,0,11,4,0,0,4,4,51780579,7,0,0,7,0
2020-01-31,Malaysia,8,0,0,8,8,0,0,8,7,32726760,0,0,0,0,1
2020-01-31,Nepal,1,0,0,1,1,0,0,1,1,29609623,0,0,0,0,0
2020-01-31,Philippines,1,0,0,1,1,0,0,1,,108438081,0,0,0,0,
2020-01-31,Russia,2,0,0,2,,,,,,146745098,,,,,
2020-01-31,Singapore,13,0,0,13,10,0,0,10,7,5703600,3,0,0,3,3
2020-01-31,Sri Lanka,1,0,0,1,1,0,0,1,1,21803000,0,0,0,0,0
2020-01-31,Sweden,1,0,0,1,,,,,,10333456,,,,,
2020-01-31,Taiwan*,10,0,0,10,9,0,0,9,8,23604265,1,0,0,1,1
2020-01-31,Thailand,19,0,0,19,14,0,0,14,14,66484342,5,0,0,5,0
2020-01-31,US,7,0,0,7,5,0,0,5,5,329493716,2,0,0,2,0
2020-01-31,United Arab Emirates,4,0,0,4,4,0,0,4,4,9890400,0,0,0,0,0
2020-01-31,United Kingdom,2,0,0,2,,,,,,66435600,,,,,
2020-01-31,Vietnam,2,0,0,2,2,0,0,2,2,96208984,0,0,0,0,0
2020-02-01,Australia,12,0,0,12,9,0,0,9,9,25654023,3,0,0,3,0
2020-02-01,Cambodia,1,0,0,1,1,0,0,1,1,15288489,0,0,0,0,0
2020-02-01,Canada,4,0,0,4,4,0,0,4,2,37966227,0,0,0,0,2
2020-02-01,China,11891,259,0,11632,9802,213,0,9589,8141,1401870440,2089,46,0,2043,1661
2020-02-01,Finland,1,0,0,1,1,0,0,1,1,5527573,0,0,0,0,0
2020-02-01,France,6,0,0,6,5,0,0,5,5,67069000,1,0,0,1,0
2020-02-01,Germany,8,0,0,8,5,0,0,5,4,83149300,3,0,0,3,1
2020-02-01,India,1,0,0,1,1,0,0,1,1,1360094159,0,0,0,0,0
2020-02-01,Italy,2,0,0,2,2,0,0,2,,60243406,0,0,0,0,
2020-02-01,Japan,20,0,0,20,15,0,0,15,11,126010000,5,0,0,5,4
2020-02-01,"Korea, South",12,0,0,12,11,0,0,11,4,51780579,1,0,0,1,7
2020-02-01,Malaysia,8,0,0,8,8,0,0,8,8,32726760,0,0,0,0,0
2020-02-01,Nepal,1,0,0,1,1,0,0,1,1,29609623,0,0,0,0,0
2020-02-01,Philippines,1,0,0,1,1,0,0,1,1,108438081,0,0,0,0,0
2020-02-01,Russia,2,0,0,2,2,0,0,2,,146745098,0,0,0,0,
2020-02-01,Singapore,16,0,0,16,13,0,0,13,10,5703600,3,0,0,3,3
2020-02-01,Spain,1,0,0,1,,,,,,47100396,,,,,
2020-02-01,Sri Lanka,1,0,0,1,1,0,0,1,1,21803000,0,0,0,0,0
2020-02-01,Sweden,1,0,0,1,1,0,0,1,,10333456,0,0,0,0,
2020-02-01,Taiwan*,10,0,0,10,10,0,0,10,9,23604265,0,0,0,0,1
2020-02-01,Thailand,19,0,0,19,19,0,0,19,14,66484342,0,0,0,0,5
2020-02-01,US,8,0,0,8,7,0,0,7,5,329493716,1,0,0,1,2
2020-02-01,United Arab Emirates,4,0,0,4,4,0,0,4,4,9890400,0,0,0,0,0
2020-02-01,United Kingdom,2,0,0,2,2,0,0,2,,66435600,0,0,0,0,
2020-02-01,Vietnam,6,0,0,6,2,0,0,2,2,96208984,4,0,0,4,0
2020-02-02,Australia,12,0,0,12,12,0,0,12,9,25654023,0,0,0,0,3
2020-02-02,Cambodia,1,0,0,1,1,0,0,1,1,15288489,0,0,0,0,0
2020-02-02,Canada,4,0,0,4,4,0,0,4,4,37966227,0,0,0,0,0
2020-02-02,China,16630,361,0,16269,11891,259,0,11632,9802,1401870440,4739,102,0,4637,2089
2020-02-02,Finland,1,0,0,1,1,0,0,1,1,5527573,0,0,0,0,0
2020-02-02,France,6,0,0,6,6,0,0,6,5,67069000,0,0,0,0,1
2020-02-02,Germany,10,0,0,10,8,0,0,8,5,83149300,2,0,0,2,3
2020-02-02,India,2,0,0,2,1,0,0,1,1,1360094159,1,0,0,1,0
2020-02-02,Italy,2,0,0,2,2,0,0,2,2,60243406,0,0,0,0,0
2020-02-02,Japan,20,0,0,20,20,0,0,20,15,126010000,0,0,0,0,5
2020-02-02,"Korea, South",15,0,0,15,12,0,0,12,11,51780579,3,0,0,3,1
2020-02-02,Malaysia,8,0,0,8,8,0,0,8,8,32726760,0,0,0,0,0
2020-02-02,Nepal,1,0,0,1,1,0,0,1,1,29609623,0,0,0,0,0
2020-02-02,Philippines,2,1,0,1,1,0,0,1,1,108438081,1,1,0,0,0
2020-02-02,Russia,2,0,0,2,2,0,0,2,2,146745098,0,0,0,0,0
2020-02-02,Singapore,18,0,0,18,16,0,0,16,13,5703600,2,0,0,2,3
2020-02-02,Spain,1,0,0,1,1,0,0,1,,47100396,0,0,0,0,
2020-02-02,Sri Lanka,1,0,0,1,1,0,0,1,1,21803000,0,0,0,0,0
2020-02-02,Sweden,1,0,0,1,1,0,0,1,1,10333456,0,0,0,0,0
2020-02-02,Taiwan*,10,0,0,10,10,0,0,10,10,23604265,0,0,0,0,0
2020-02-02,Thailand,19,0,0,19,19,0,0,19,19,66484342,0,0,0,0,0
2020-02-02,US,8,0,0,8,8,0,0,8,7,329493716,0,0,0,0,1
2020-02-02,United Arab Emirates,5,0,0,5,4,0,0,4,4,9890400,1,0,0,1,0
2020-02-02,United Kingdom,2,0,0,2,2,0,0,2,2,66435600,0,0,0,0,0
2020-02-02,Vietnam,6,0,0,6,6,0,0,6,2,96208984,0,0,0,0,4
2020-02-03,Australia,12,0,0,12,12,0,0,12,12,25654023,0,0,0,0,0
2020-02-03,Cambodia,1,0,0,1,1,0,0,1,1,15288489,0,0,0,0,0
2020-02-03,Canada,4,0,0,4,4,0,0,4,4,37966227,0,0,0,0,0
2020-02-03,China,19716,425,0,19291,16630,361,0,16269,11891,1401870440,3086,64,0,3022,4739
2020-02-03,Finland,1,0,0,1,1,0,0,1,1,5527573,0,0,0,0,0
2020-02-03,France,6,0,0,6,6,0,0,6,6,67069000,0,0,0,0,0
2020-02-03,Germany,12,0,0,12,10,0,0,10,8,83149300,2,0,0,2,2
2020-02-03,India,3,0,0,3,2,0,0,2,1,1360094159,1,0,0,1,1
2020-02-03,Italy,2,0,0,2,2,0,0,2,2,60243406,0,0,0,0,0
2020-02-03,Japan,20,0,0,20,20,0,0,20,20,126010000,0,0,0,0,0
2020-02-03,"Korea, South",15,0,0,15,15,0,0,15,12,51780579,0,0,0,0,3
2020-02-03,Malaysia,8,0,0,8,8,0,0,8,8,32726760,0,0,0,0,0
2020-02-03,Nepal,1,0,0,1,1,0,0,1,1,29609623,0,0,0,0,0
2020-02-03,Philippines,2,1,0,1,2,1,0,1,1,108438081,0,0,0,0,1
2020-02-03,Russia,2,0,0,2,2,0,0,2,2,146745098,0,0,0,0,0
2020-02-03,Singapore,18,0,0,18,18,0,0,18,16,5703600,0,0,0,0,2
2020-02-03,Spain,1,0,0,1,1,0,0,1,1,47100396,0,0,0,0,0
2020-02-03,Sri Lanka,1,0,0,1,1,0,0,1,1,21803000,0,0,0,0,0
2020-02-03,Sweden,1,0,0,1,1,0,0,1,1,10333456,0,0,0,0,0
2020-02-03,Taiwan*,10,0,0,10,10,0,0,10,10,23604265,0,0,0,0,0
2020-02-03,Thailand,19,0,0,19,19,0,0,19,19,66484342,0,0,0,0,0
2020-02-03,US,11,0,0,11,8,0,0,8,8,329493716,3,0,0,3,0
2020-02-03,United Arab Emirates,5,0,0,5,5,0,0,5,4,9890400,0,0,0,0,1
2020-02-03,United Kingdom,8,0,0,8,2,0,0,2,2,66435600,6,0,0,6,0
2020-02-03,Vietnam,8,0,0,8,6,0,0,6,6,96208984,2,0,0,2,0
2020-02-04,Australia,13,0,0,13,12,0,0,12,12,25654023,1,0,0,1,0
2020-02-04,Belgium,1,0,0,1,,,,,,11524454,,,,,
2020-02-04,Cambodia,1,0,0,1,1,0,0,1,1,15288489,0,0,0,0,0
2020-02-04,Canada,4,0,0,4,4,0,0,4,4,37966227,0,0,0,0,0
2020-02-04,China,23707,491,0,23216,19716,425,0,19291,16630,1401870440,3991,66,0,3925,3086
2020-02-04,Finland,1,0,0,1,1,0,0,1,1,5527573,0,0,0,0,0
2020-02-04,France,6,0,0,6,6,0,0,6,6,67069000,0,0,0,0,0
2020-02-04,Germany,12,0,0,12,12,0,0,12,10,83149300,0,0,0,0,2
2020-02-04,India,3,0,0,3,3,0,0,3,2,1360094159,0,0,0,0,1
2020-02-04,Italy,2,0,0,2,2,0,0,2,2,60243406,0,0,0,0,0
2020-02-04,Japan,22,0,0,22,20,0,0,20,20,126010000,2,0,0,2,0
2020-02-04,"Korea, South",16,0,0,16,15,0,0,15,15,51780579,1,0,0,1,0
2020-02-04,Malaysia,10,0,0,10,8,0,0,8,8,32726760,2,0,0,2,0
2020-02-04,Nepal,1,0,0,1,1,0,0,1,1,29609623,0,0,0,0,0
2020-02-04,Philippines,2,1,0,1,2,1,0,1,2,108438081,0,0,0,0,0
2020-02-04,Russia,2,0,0,2,2,0,0,2,2,146745098,0,0,0,0,0
2020-02-04,Singapore,24,0,0,24,18,0,0,18,18,5703600,6,0,0,6,0
2020-02-04,Spain,1,0,0,1,1,0,0,1,1,47100396,0,0,0,0,0
2020-02-04,Sri Lanka,1,0,0,1,1,0,0,1,1,21803000,0,0,0,0,0
2020-02-04,Sweden,1,0,0,1,1,0,0,1,1,10333456,0,0,0,0,0
2020-02-04,Taiwan*,11,0,0,11,10,0,0,10,10,23604265,1,0,0,1,0
2020-02-04,Thailand,25,0,0,25,19,0,0,19,19,66484342,6,0,0,6,0
2020-02-04,US,11,0,0,11,11,0,0,11,8,329493716,0,0,0,0,3
2020-02-04,United Arab Emirates,5,0,0,5,5,0,0,5,5,9890400,0,0,0,0,0
2020-02-04,United Kingdom,8,0,0,8,8,0,0,8,2,66435600,0,0,0,0,6
2020-02-04,Vietnam,8,0,0,8,8,0,0,8,6,96208984,0,0,0,0,2
2020-02-05,Australia,13,0,0,13,13,0,0,13,12,25654023,0,0,0,0,1
2020-02-05,Belgium,1,0,0,1,1,0,0,1,,11524454,0,0,0,0,
2020-02-05,Cambodia,1,0,0,1,1,0,0,1,1,15288489,0,0,0,0,0
2020-02-05,Canada,5,0,0,5,4,0,0,4,4,37966227,1,0,0,1,0
2020-02-05,China,27440,563,0,26877,23707,491,0,23216,19716,1401870440,3733,72,0,3661,3991
2020-02-05,Finland,1,0,0,1,1,0,0,1,1,5527573,0,0,0,0,0
2020-02-05,France,6,0,0,6,6,0,0,6,6,67069000,0,0,0,0,0
2020-02-05,Germany,12,0,0,12,12,0,0,12,12,83149300,0,0,0,0,0
2020-02-05,India,3,0,0,3,3,0,0,3,3,1360094159,0,0,0,0,0
2020-02-05,Italy,2,0,0,2,2,0,0,2,2,60243406,0,0,0,0,0
2020-02-05,Japan,22,0,0,22,22,0,0,22,20,126010000,0,0,0,0,2
2020-02-05,"Korea, South",19,0,0,19,16,0,0,16,15,51780579,3,0,0,3,1
2020-02-05,Malaysia,12,0,0,12,10,0,0,10,8,32726760,2,0,0,2,2
2020-02-05,Nepal,1,0,0,1,1,0,0,1,1,29609623,0,0,0,0,0
2020-02-05,Philippines,2,1,0,1,2,1,0,1,2,108438081,0,0,0,0,0
2020-02-05,Russia,2,0,0,2,2,0,0,2,2,146745098,0,0,0,0,0
2020-02-05,Singapore,28,0,0,28,24,0,0,24,18,5703600,4,0,0,4,6
2020-02-05,Spain,1,0,0,1,1,0,0,1,1,47100396,0,0,0,0,0
2020-02-05,Sri Lanka,1,0,0,1,1,0,0,1,1,21803000,0,0,0,0,0
2020-02-05,Sweden,1,0,0,1,1,0,0,1,1,10333456,0,0,0,0,0
2020-02-05,Taiwan*,11,0,0,11,11,0,0,11,10,23604265,0,0,0,0,1
2020-02-05,Thailand,25,0,0,25,25,0,0,25,19,66484342,0,0,0,0,6
2020-02-05,US,11,0,0,11,11,0,0,11,11,329493716,0,0,0,0,0
2020-02-05,United Arab Emirates,5,0,0,5,5,0,0,5,5,9890400,0,0,0,0,0
2020-02-05,United Kingdom,9,0,0,9,8,0,0,8,8,66435600,1,0,0,1,0
2020-02-05,Vietnam,8,0,0,8,8,0,0,8,8,96208984,0,0,0,0,0
2020-02-06,Australia,14,0,0,14,13,0,0,13,13,25654023,1,0,0,1,0
2020-02-06,Belgium,1,0,0,1,1,0,0,1,1,11524454,0,0,0,0,0
2020-02-06,Cambodia,1,0,0,1,1,0,0,1,1,15288489,0,0,0,0,0
2020-02-06,Canada,5,0,0,5,5,0,0,5,4,37966227,0,0,0,0,1
2020-02-06,China,30587,633,0,29954,27440,563,0,26877,23707,1401870440,3147,70,0,3077,3733
2020-02-06,Finland,1,0,0,1,1,0,0,1,1,5527573,0,0,0,0,0
2020-02-06,France,6,0,0,6,6,0,0,6,6,67069000,0,0,0,0,0
2020-02-06,Germany,12,0,0,12,12,0,0,12,12,83149300,0,0,0,0,0
2020-02-06,India,3,0,0,3,3,0,0,3,3,1360094159,0,0,0,0,0
2020-02-06,Italy,2,0,0,2,2,0,0,2,2,60243406,0,0,0,0,0
2020-02-06,Japan,22,0,0,22,22,0,0,22,22,126010000,0,0,0,0,0
2020-02-06,"Korea, South",23,0,0,23,19,0,0,19,16,51780579,4,0,0,4,3
2020-02-06,Malaysia,12,0,0,12,12,0,0,12,10,32726760,0,0,0,0,2
2020-02-06,Nepal,1,0,0,1,1,0,0,1,1,29609623,0,0,0,0,0
2020-02-06,Philippines,2,1,0,1,2,1,0,1,2,108438081,0,0,0,0,0
2020-02-06,Russia,2,0,0,2,2,0,0,2,2,146745098,0,0,0,0,0
2020-02-06,Singapore,28,0,0,28,28,0,0,28,24,5703600,0,0,0,0,4
2020-02-06,Spain,1,0,0,1,1,0,0,1,1,47100396,0,0,0,0,0
2020-02-06,Sri Lanka,1,0,0,1,1,0,0,1,1,21803000,0,0,0,0,0
2020-02-06,Sweden,1,0,0,1,1,0,0,1,1,10333456,0,0,0,0,0
2020-02-06,Taiwan*,16,0,0,16,11,0,0,11,11,23604265,5,0,0,5,0
2020-02-06,Thailand,25,0,0,25,25,0,0,25,25,66484342,0,0,0,0,0
2020-02-06,US,11,0,0,11,11,0,0,11,11,329493716,0,0,0,0,0
2020-02-06,United Arab Emirates,5,0,0,5,5,0,0,5,5,9890400,0,0,0,0,0
2020-02-06,United Kingdom,9,0,0,9,9,0,0,9,8,66435600,0,0,0,0,1
2020-02-06,Vietnam,10,0,0,10,8,0,0,8,8,96208984,2,0,0,2,0
2020-02-07,Australia,15,0,0,15,14,0,0,14,13,25654023,1,0,0,1,1
2020-02-07,Belgium,1,0,0,1,1,0,0,1,1,11524454,0,0,0,0,0
2020-02-07,Cambodia,1,0,0,1,1,0,0,1,1,15288489,0,0,0,0,0
2020-02-07,Canada,7,0,0,7,5,0,0,5,5,37966227,2,0,0,2,0
2020-02-07,China,34110,718,0,33392,30587,633,0,29954,27440,1401870440,3523,85,0,3438,3147
2020-02-07,Diamond Princess,61,0,0,61,,,,,,,,,,,
2020-02-07,Finland,1,0,0,1,1,0,0,1,1,5527573,0,0,0,0,0
2020-02-07,France,6,0,0,6,6,0,0,6,6,67069000,0,0,0,0,0
2020-02-07,Germany,13,0,0,13,12,0,0,12,12,83149300,1,0,0,1,0
2020-02-07,India,3,0,0,3,3,0,0,3,3,1360094159,0,0,0,0,0
2020-02-07,Italy,3,0,0,3,2,0,0,2,2,60243406,1,0,0,1,0
2020-02-07,Japan,25,0,0,25,22,0,0,22,22,126010000,3,0,0,3,0
2020-02-07,"Korea, South",24,0,0,24,23,0,0,23,19,51780579,1,0,0,1,4
2020-02-07,Malaysia,12,0,0,12,12,0,0,12,12,32726760,0,0,0,0,0
2020-02-07,Nepal,1,0,0,1,1,0,0,1,1,29609623,0,0,0,0,0
2020-02-07,Philippines,3,1,0,2,2,1,0,1,2,108438081,1,0,0,1,0
2020-02-07,Russia,2,0,0,2,2,0,0,2,2,146745098,0,0,0,0,0
2020-02-07,Singapore,30,0,0,30,28,0,0,28,28,5703600,2,0,0,2,0
2020-02-07,Spain,1,0,0,1,1,0,0,1,1,47100396,0,0,0,0,0
2020-02-07,Sri Lanka,1,0,0,1,1,0,0,1,1,21803000,0,0,0,0,0
2020-02-07,Sweden,1,0,0,1,1,0,0,1,1,10333456,0,0,0,0,0
2020-02-07,Taiwan*,16,0,0,16,16,0,0,16,11,23604265,0,0,0,0,5
2020-02-07,Thailand,25,0,0,25,25,0,0,25,25,66484342,0,0,0,0,0
2020-02-07,US,11,0,0,11,11,0,0,11,11,329493716,0,0,0,0,0
